Pregunta,A,B,C,D,Correcta,Materia,Tema
"Un material paramagnético se caracteriza por:", "Ser débilmente atraído por un imán.", "Ser fuertemente atraído por un imán.", "No ser afectado por un imán.", "Repeler las líneas de campo magnético.", A, Física, Electromagnetismo
"La ley de Hooke para materiales elásticos tiene validez dentro del:", "Límite elástico del material.", "Límite de rotura.", "Rango plástico.", "Rango de deformación permanente.", A, Física, Trabajo y leyes de la conservación
"La fórmula para la potencia media en un circuito de corriente alterna con un componente resistivo es P = I_rms V_rms cos φ. El factor cos φ se llama:", "Factor de potencia.", "Reactancia.", "Impedancia.", "Fase.", A, Física, Electromagnetismo
"La teoría del Big Bang explica el origen del universo a partir de:", "Un estado inicial de alta densidad y temperatura.", "Una colisión de branas en teoría de cuerdas.", "Una fluctuación cuántica del vacío.", "La explosión de una supernova.", A, Física, Física contemporánea
"En un espejo plano, la imagen de un objeto es siempre:", "Virtual, derecha y del mismo tamaño que el objeto.", "Real, invertida y del mismo tamaño.", "Virtual, invertida y de menor tamaño.", "Real, derecha y de mayor tamaño.", A, Física, Óptica
"La constante de desintegración radiactiva (λ) y la vida media (T_{1/2}) están relacionadas por:", "T_{1/2} = (ln 2) / λ.", "T_{1/2} = λ / (ln 2).", "T_{1/2} = λ * (ln 2).", "T_{1/2} = 1 / λ.", A, Física, Física contemporánea
"El flujo magnético a través de una superficie se define como el producto del campo magnético por el área, considerando:", "La componente perpendicular del campo al área.", "La componente paralela del campo al área.", "El vector área paralelo al campo.", "El campo total sin considerar dirección.", A, Física, Electromagnetismo
"En un proceso cíclico realizado por un gas ideal, el cambio en la energía interna después de un ciclo completo es:", "Cero.", "Positivo.", "Negativo.", "Igual al calor neto absorbido.", A, Física, Termodinámica
"El principio de equivalencia entre masa inercial y masa gravitacional es fundamental para:", "La teoría general de la relatividad.", "La mecánica cuántica.", "La electrodinámica clásica.", "La termodinámica estadística.", A, Física, Física contemporánea
"La ley de Ohm establece que, para muchos materiales, la corriente que los atraviesa es directamente proporcional al voltaje aplicado, siempre que se mantenga constante la:", "Temperatura.", "Resistencia.", "Longitud del conductor.", "Área transversal.", A, Física, Electromagnetismo
"Un proceso de transferencia de calor por convección implica:", "El movimiento de un fluido.", "La emisión de ondas electromagnéticas.", "El contacto directo entre sólidos.", "La conducción a través de un vacío.", A, Física, Termodinámica
"La longitud de onda de De Broglie para una partícula es inversamente proporcional a su:", "Momento lineal.", "Energía cinética.", "Velocidad.", "Masa.", A, Física, Física contemporánea
"La formación de una imagen real por una lente convergente requiere que los rayos de luz:", "Converjan físicamente en un punto.", "Parezcan divergir de un punto.", "Sean paralelos.", "Se reflejen.", A, Física, Óptica
"La constante de Rydberg aparece en la fórmula que describe:", "Las líneas espectrales del átomo de hidrógeno.", "La energía de enlace nuclear.", "La constante de desintegración radiactiva.", "La velocidad de la luz en el vacío.", A, Física, Física contemporánea
"En un movimiento de proyectil ideal (sin fricción del aire), la componente horizontal de la velocidad:", "Permanece constante.", "Aumenta linealmente con el tiempo.", "Disminuye linealmente con el tiempo.", "Es cero en el punto más alto.", A, Física, Cinemática
"La capacitancia de un capacitor de placas paralelas es directamente proporcional a:", "El área de las placas e inversamente proporcional a la distancia entre ellas.", "La distancia entre las placas.", "El voltaje aplicado.", "La carga almacenada.", A, Física, Electromagnetismo
"La presión manométrica es la diferencia entre la presión absoluta y la:", "Presión atmosférica.", "Presión de vapor.", "Presión hidrostática.", "Presión crítica.", A, Física, Fluidos
"Un fotón es la partícula cuántica portadora de la interacción:", "Electromagnética.", "Nuclear fuerte.", "Nuclear débil.", "Gravitacional.", A, Física, Física contemporánea
"La ley de gravitación universal de Newton puede expresarse como F = G (m1 m2)/r^2. En esta ecuación, G representa:", "La constante de gravitación universal.", "La aceleración de la gravedad.", "La masa gravitacional.", "La distancia al cuadrado.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"La reflexión difusa de la luz en una superficie rugosa ocurre porque:", "Los rayos se reflejan en muchas direcciones debido a la irregularidad de la superficie.", "La superficie absorbe selectivamente ciertos colores.", "El ángulo de incidencia es mayor que el ángulo crítico.", "La luz se transmite parcialmente.", A, Física, Óptica
"La energía de Fermi en un metal es la energía:", "Máxima que pueden tener los electrones de conducción a 0 K.", "Necesaria para arrancar un electrón del metal.", "De la banda prohibida.", "De un fotón emitido.", A, Física, Física contemporánea
"La relación entre la presión y el volumen en un proceso adiabático de un gas ideal está dada por PV^γ = constante, donde γ es:", "La razón de las capacidades caloríficas a presión y volumen constantes.", "La constante de los gases.", "El coeficiente de dilatación.", "El índice de refracción.", A, Física, Termodinámica
"En una reacción de fusión nuclear, la masa total de los productos es ligeramente menor que la masa total de los reactivos. La masa faltante se convierte en energía según:", "La ecuación E = Δm c^2.", "La ley de conservación de la carga.", "El principio de exclusión de Pauli.", "La ley de desintegración exponencial.", A, Física, Física contemporánea
"El funcionamiento de un motor de combustión interna se puede modelar mediante el:", "Ciclo de Otto.", "Ciclo de Carnot.", "Ciclo de Rankine.", "Ciclo de Stirling.", A, Física, Termodinámica
"La 'acción a distancia' en la gravedad newtoniana fue reinterpretada por Einstein como una consecuencia de:", "La curvatura del espacio-tiempo.", "El intercambio de gravitones.", "La fuerza de marea.", "La expansión del universo.", A, Física, Física contemporánea
"La relación de incertidumbre entre energía y tiempo (ΔE Δt ≥ ħ/2) implica que, para intervalos de tiempo muy cortos, la energía de un sistema:", "Puede fluctuar significativamente.", "Debe ser perfectamente definida.", "Se conserva estrictamente.", "Es siempre positiva.", A, Física, Física contemporánea
"El índice de refracción de un medio se define como la razón entre:", "La velocidad de la luz en el vacío y su velocidad en el medio.", "La velocidad de la luz en el medio y en el vacío.", "La frecuencia de la luz en el vacío y en el medio.", "La longitud de onda en el medio y en el vacío.", A, Física, Óptica
"La ecuación de Schrödinger es la ecuación fundamental no relativista que describe:", "La evolución de la función de onda en mecánica cuántica.", "El movimiento de partículas relativistas.", "La dinámica de fluidos.", "La propagación de ondas electromagnéticas.", A, Física, Física contemporánea
"Un proceso reversible en termodinámica es un proceso ideal que puede ocurrir en ambas direcciones sin dejar cambios netos en:", "El sistema y sus alrededores.", "Solo el sistema.", "Solo los alrededores.", "La energía interna.", A, Física, Termodinámica
"La intensidad de una onda esférica que se propaga desde una fuente puntual disminuye con la distancia según:", "La ley del inverso del cuadrado (1/r^2).", "La ley del inverso de la distancia (1/r).", "Una ley exponencial.", "Permanece constante.", A, Física, Ondas
"La constante de Boltzmann (k_B) relaciona la temperatura absoluta con la:", "Energía promedio por grado de libertad en un sistema termodinámico.", "Constante de los gases ideales.", "Carga del electrón.", "Masa del protón.", A, Física, Termodinámica
"La fuerza electromotriz (fem) inducida en una espira que gira en un campo magnético uniforme genera una corriente:", "Alterna.", "Continua.", "Pulsante.", "Directa.", A, Física, Electromagnetismo
"El principio de Fermat establece que la luz sigue la trayectoria que minimiza el:", "Tiempo de viaje.", "Distancia.", "Número de reflexiones.", "Ángulo de incidencia.", A, Física, Óptica
"En la desintegración beta menos, un neutrón se transforma en un protón emitiendo:", "Un electrón y un antineutrino electrónico.", "Un positrón y un neutrino electrónico.", "Una partícula alfa.", "Un fotón de alta energía.", A, Física, Física contemporánea
"La ecuación de continuidad de carga expresa que la tasa de cambio de la carga dentro de un volumen es igual a:", "Menos el flujo neto de corriente a través de la superficie que encierra el volumen.", "El flujo neto de corriente hacia el volumen.", "La divergencia del campo eléctrico.", "La integral de la densidad de corriente.", A, Física, Electromagnetismo
"La ley de enfriamiento de Newton es una aproximación válida cuando el mecanismo principal de pérdida de calor es:", "La convección.", "La radiación a bajas temperaturas.", "La conducción a través de un sólido.", "La evaporación.", A, Física, Termodinámica
"El efecto túnel en mecánica cuántica es el fenómeno por el cual una partícula puede atravesar una barrera de potencial incluso si su energía cinética es:", "Menor que la altura de la barrera.", "Mayor que la altura de la barrera.", "Igual a la altura de la barrera.", "Cero.", A, Física, Física contemporánea
"Un material con una banda prohibida (gap) de aproximadamente 1 eV a temperatura ambiente probablemente es un:", "Semiconductor.", "Conductor.", "Aislante.", "Superconductor.", A, Física, Física contemporánea
"La fuerza de Coriolis es una fuerza aparente que actúa sobre objetos en movimiento en un sistema de referencia que:", "Rota.", "Se traslada con velocidad constante.", "Está en caída libre.", "Acelera linealmente.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"La fórmula para la fuerza magnética sobre un conductor recto de longitud L que lleva una corriente I en un campo B es F = I L B sen θ. Esta fuerza es máxima cuando el ángulo θ entre el conductor y el campo es:", "90 grados.", "0 grados.", "45 grados.", "180 grados.", A, Física, Electromagnetismo
"La unidad de inductancia en el SI, el henry (H), puede expresarse en unidades base como:", "kg m^2 s^{-2} A^{-2}.", "kg m^2 s^{-3} A^{-1}.", "kg m s^{-2} A^{-1}.", "m^2 kg s^{-2}.", A, Física, Electromagnetismo
"La velocidad de la luz en el vacío (c) es una constante fundamental que aparece en las teorías de:", "La relatividad especial y la electromagnetismo.", "La mecánica newtoniana.", "La gravitación universal clásica.", "La termodinámica.", A, Física, Física contemporánea
"En un movimiento armónico simple, la energía total es proporcional al:", "Cuadrado de la amplitud.", "Cuadrado de la frecuencia.", "Amplitud.", "Frecuencia.", A, Física, Ondas
"La anomalía del agua, donde su densidad es máxima a aproximadamente 4°C, se debe a:", "La estructura de puentes de hidrógeno en su estado líquido.", "La dilatación térmica normal.", "La alta presión de vapor.", "Su baja capacidad calorífica.", A, Física, Fluidos
"La teoría cinética de los gases explica la presión de un gas ideal en términos del:", "Promedio del cambio de momento de las moléculas al chocar con las paredes.", "Número total de moléculas.", "Volumen de las moléculas.", "Fuerzas intermoleculares atractivas.", A, Física, Termodinámica
"El modelo atómico de Rutherford se basó en experimentos de dispersión de partículas alfa que demostraron la existencia de:", "Un núcleo atómico pequeño, denso y cargado positivamente.", "Electrones en órbitas definidas.", "Niveles de energía cuantizados.", "La dualidad onda-partícula.", A, Física, Física contemporánea
"Una onda estacionaria en una cuerda con ambos extremos fijos solo puede tener frecuencias que sean múltiplos enteros de la frecuencia fundamental. Estos múltiplos se llaman:", "Armónicos.", "Modos normales.", "Resonancias.", "Todas las anteriores son correctas.", D, Física, Ondas
"La ley de Gauss para el campo eléctrico relaciona el flujo eléctrico a través de una superficie cerrada con:", "La carga neta encerrada dentro de la superficie.", "El campo eléctrico en la superficie.", "El potencial eléctrico.", "La densidad de corriente.", A, Física, Electromagnetismo
"El efecto Hall permite medir:", "La densidad de portadores de carga en un conductor.", "La resistencia eléctrica de un material.", "La capacitancia de un dispositivo.", "La inductancia de una bobina.", A, Física, Electromagnetismo
"El principio de Le Châtelier, aplicado a sistemas en equilibrio termodinámico, establece que si se modifica una condición (como la presión), el sistema evolucionará para:", "Oponeerse parcialmente al cambio.", "Reforzar el cambio.", "Mantenerse igual.", "Volver al estado inicial exacto.", A, Física, Termodinámica
"La unidad de actividad radiactiva en el SI, el becquerel (Bq), corresponde a:", "Una desintegración nuclear por segundo.", "Una desintegración nuclear por minuto.", "La dosis absorbida de radiación.", "La energía de la radiación emitida.", A, Física, Física contemporánea
"La fórmula del espejo esférico (1/p + 1/q = 1/f) utiliza la convención de signos en la que las distancias para imágenes reales son:", "Positivas.", "Negativas.", "Cero.", "Depende del tipo de espejo.", A, Física, Óptica
"El fenómeno de la birrefringencia (doble refracción) en ciertos cristales se debe a:", "Diferentes índices de refracción para diferentes polarizaciones de la luz.", "La dispersión cromática.", "La absorción selectiva de colores.", "La reflexión interna total.", A, Física, Óptica
"La constante de tiempo (τ) en el proceso de carga de un capacitor a través de una resistencia es el tiempo necesario para que el voltaje en el capacitor alcance aproximadamente el:", "63% de su valor final.", "37% de su valor final.", "50% de su valor final.", "90% de su valor final.", A, Física, Electromagnetismo
"En relatividad especial, la longitud de un objeto en movimiento medida por un observador en reposo es:", "Menor que su longitud propia (contracción de Lorentz).", "Mayor que su longitud propia.", "Igual a su longitud propia.", "Independiente de la velocidad.", A, Física, Física contemporánea
"La ley de conservación del momento angular se aplica a un sistema si:", "El torque externo neto sobre el sistema es cero.", "La fuerza externa neta es cero.", "La energía cinética rotacional es constante.", "No hay fuerzas internas.", A, Física, Trabajo y leyes de la conservación
"La fórmula para la energía de un fotón es E = h f, donde h es:", "La constante de Planck.", "La constante de Boltzmann.", "La carga del electrón.", "La velocidad de la luz.", A, Física, Física contemporánea
"En un diodo LED (diodo emisor de luz), la luz se produce cuando:", "Los electrones y los huecos se recombinan en la unión PN emitiendo fotones.", "El material se calienta por efecto Joule.", "Los electrones son acelerados en un campo eléctrico.", "Ocurre una descarga eléctrica en un gas.", A, Física, Física contemporánea
"La ley de Beer-Lambert describe la atenuación de la intensidad de un haz de luz al pasar a través de un medio absorbente. Esta atenuación es:", "Exponencial con la longitud del camino recorrido.", "Lineal con la concentración del absorbente.", "Proporcional al cuadrado de la distancia.", "Constante.", A, Física, Óptica
"La resistencia de un conductor cilíndrico es directamente proporcional a su longitud e inversamente proporcional a su:", "Área de la sección transversal.", "Resistividad.", "Conductividad.", "Todas las anteriores son correctas.", D, Física, Electromagnetismo
"Un proceso isocórico (o isovolumétrico) es aquel en el que no cambia el:", "Volumen.", "Presión.", "Temperatura.", "Número de moles.", A, Física, Termodinámica
"La 'masa crítica' en un reactor nuclear de fisión es la masa mínima de material fisionable necesaria para:", "Sostener una reacción en cadena autónoma.", "Iniciar una explosión termonuclear.", "Producir elementos transuránicos.", "Generar electricidad de manera eficiente.", A, Física, Física contemporánea
"La ecuación de una onda viajera unidimensional puede escribirse como y(x,t) = A sen(kx - ωt). El número de onda k está relacionado con la longitud de onda λ por:", "k = 2π / λ.", "k = λ / (2π).", "k = 1 / λ.", "k = π / λ.", A, Física, Ondas
"El funcionamiento de un horno de microondas se basa en la capacidad de las ondas electromagnéticas de cierta frecuencia para:", "Hacer rotar las moléculas de agua, calentando los alimentos por fricción.", "Inducir corrientes eléctricas en los metales.", "Excitar los electrones de valencia de los alimentos.", "Generar calor por efecto termoiónico.", A, Física, Ondas
"En una reacción nuclear, el defecto de masa (diferencia entre la masa de los reactivos y la de los productos) está relacionado con la energía liberada o absorbida mediante:", "E = Δm c^2.", "La ley de la conservación de la carga.", "El principio de exclusión de Pauli.", "La ecuación de Schrödinger.", A, Física, Física contemporánea
"La ley de desplazamiento de Wien establece que la longitud de onda a la cual un cuerpo negro emite con máxima intensidad es inversamente proporcional a su:", "Temperatura absoluta.", "Área superficial.", "Energía interna.", "Calor específico.", A, Física, Termodinámica
"La constante de Faraday (F) representa:", "La carga de un mol de electrones.", "La constante de los gases ideales.", "La constante de Avogadro.", "La fuerza electromotriz estándar.", A, Física, Electromagnetismo
"La formación de un pozo de potencial gravitacional en el espacio-tiempo, según la relatividad general, es causada por la:", "Presencia de masa o energía.", "Velocidad de la luz constante.", "Expansión acelerada del universo.", "Existencia de agujeros negros.", A, Física, Física contemporánea
"En una lente delgada, la potencia (en dioptrías) se define como el inverso de la distancia focal, y es positiva para lentes:", "Convergentes.", "Divergentes.", "Cilíndricas.", "Cóncavas.", A, Física, Óptica
"El principio de superposición en electrostática establece que el campo eléctrico total en un punto debido a un conjunto de cargas es la:", "Suma vectorial de los campos individuales creados por cada carga.", "Suma algebraica de las magnitudes de los campos.", "Producto de los campos individuales.", "Media de los campos individuales.", A, Física, Electromagnetismo
"El ciclo de Carnot representa el ciclo termodinámico reversible con la máxima eficiencia posible entre dos temperaturas dadas. Su eficiencia depende solo de:", "Las temperaturas absolutas de la fuente caliente y la fuente fría.", "La sustancia de trabajo utilizada.", "La presión máxima alcanzada.", "El volumen del sistema.", A, Física, Termodinámica
"La fórmula para la fuerza de fricción cinética es generalmente f_k = μ_k N, donde μ_k es:", "El coeficiente de fricción cinética, adimensional.", "La fuerza normal en newtons.", "La masa del objeto.", "La velocidad del objeto.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"La 'carga de color' en la cromodinámica cuántica es una propiedad de:", "Los quarks y los gluones.", "Los leptones como el electrón.", "Los fotones.", "Los bosones W y Z.", A, Física, Física contemporánea
"La ley de Bragg describe la condición para la interferencia constructiva de ondas (como rayos X) reflejadas por planos cristalinos. La ecuación es nλ = 2d sen θ, donde d es:", "La distancia entre planos atómicos paralelos.", "El diámetro del átomo.", "La longitud de la celda unitaria.", "El radio atómico.", A, Física, Física contemporánea
"La viscosidad dinámica de un fluido es una medida de su resistencia a fluir. En el SI se mide en:", "Pascal-segundo (Pa·s).", "Newton por metro (N/m).", "Joule por kilogramo (J/kg).", "Metro cuadrado por segundo (m²/s).", A, Física, Fluidos
"Un proceso isotérmico reversible de un gas ideal se representa en un diagrama P-V por una:", "Hipérbola (curva PV = constante).", "Línea vertical.", "Línea horizontal.", "Línea recta con pendiente positiva.", A, Física, Termodinámica
"La constante de estructura fina (α) es un número adimensional que caracteriza la fuerza de la interacción:", "Electromagnética.", "Nuclear fuerte.", "Nuclear débil.", "Gravitacional.", A, Física, Física contemporánea
"La fórmula para la frecuencia de oscilación de un péndulo simple de longitud L en un campo gravitacional g (para pequeñas amplitudes) es f = 1/(2π) √(g/L). Esto implica que el período:", "Es independiente de la masa del péndulo.", "Depende de la masa del péndulo.", "Es proporcional a la amplitud de oscilación.", "Disminuye si la longitud aumenta.", A, Física, Ondas
"La ley de la palanca establece que en equilibrio, el producto de la fuerza por su brazo de palanca a un lado del fulcro es igual al producto correspondiente al otro lado. Esto es una consecuencia del equilibrio de:", "Torques (momentos de fuerza).", "Fuerzas verticales.", "Energías potenciales.", "Cantidades de movimiento.", A, Física, Trabajo y leyes de la conservación
"La radiación de fondo cósmico de microondas (CMB) es considerada una evidencia clave del modelo del:", "Big Bang.", "Estado estacionario.", "Universo oscilante.", "Multiverso.", A, Física, Física contemporánea
"El teorema del trabajo-energía establece que el trabajo neto realizado sobre un objeto es igual al cambio en su:", "Energía cinética.", "Energía potencial.", "Energía mecánica total.", "Cantidad de movimiento.", A, Física, Trabajo y leyes de la conservación
"En el modelo del gas ideal, las colisiones entre moléculas se consideran:", "Perfectamente elásticas.", "Perfectamente inelásticas.", "Que producen un cambio de fase.", "Que generan calor por fricción.", A, Física, Termodinámica
"La fuerza magnética sobre una carga en movimiento no realiza trabajo porque siempre es:", "Perpendicular a la velocidad de la carga.", "Paralela a la velocidad.", "Antiparalela a la velocidad.", "Cero.", A, Física, Electromagnetismo
"El principio de funcionamiento de una central hidroeléctrica se basa en la conversión de:", "Energía potencial gravitacional del agua en energía eléctrica.", "Energía térmica del agua en energía mecánica.", "Energía química del agua en energía cinética.", "Energía nuclear en energía calorífica.", A, Física, Trabajo y leyes de la conservación
"La ley de los gases ideales, PV = nRT, combina las leyes empíricas de:", "Boyle, Charles y Avogadro.", "Dalton, Graham y Joule.", "Stefan, Boltzmann y Wien.", "Ohm, Ampère y Faraday.", A, Física, Termodinámica
"La fórmula para la energía almacenada en un capacitor cargado es U = 1/2 C V^2. Esto indica que la energía depende del:", "Cuadrado del voltaje entre sus placas.", "Voltaje linealmente.", "Inverso del voltaje.", "Logaritmo del voltaje.", A, Física, Electromagnetismo
"Un interferómetro es un dispositivo que utiliza la interferencia de ondas para medir con gran precisión:", "Distancias o cambios en la longitud de onda.", "La intensidad de la luz.", "La polarización.", "El índice de refracción.", A, Física, Óptica
"La teoría de la relatividad especial predice que la masa de un objeto aumenta con su velocidad según m = m_0 / √(1 - v^2/c^2), donde m_0 es la:", "Masa en reposo.", "Masa relativista.", "Masa invariante.", "Masa gravitacional.", A, Física, Física contemporánea
"El principio de conservación de la carga eléctrica establece que la carga neta de un sistema aislado:", "Permanece constante.", "Puede crearse en pares partícula-antipartícula.", "Siempre es positiva.", "Es proporcional a la masa.", A, Física, Electromagnetismo
"La capacidad calorífica molar a volumen constante (C_v) para un gas monoatómico ideal es:", "(3/2)R.", "(5/2)R.", "R.", "(7/2)R.", A, Física, Termodinámica
"La ley de la reflexión para ondas sonoras es análoga a la de la luz: el ángulo de incidencia es igual al ángulo de reflexión. Esto se aplica en el diseño de:", "Salas de concierto y anfiteatros.", "Instrumentos musicales de viento.", "Auriculares de cancelación de ruido.", "Sistemas de sonido estéreo.", A, Física, Ondas
"La 'ley de Hubble' establece que la velocidad de recesión de las galaxias es proporcional a su distancia, lo que sugiere un universo:", "En expansión.", "Estático.", "Contracción.", "Cíclico.", A, Física, Física contemporánea
"El momento de fuerza (torque) se define como el producto de la fuerza por la distancia perpendicular desde el punto de aplicación al eje de rotación. Su unidad en el SI es:", "Newton-metro (N·m).", "Joule (J).", "Watt (W).", "Pascal (Pa).", A, Física, Trabajo y leyes de la conservación
"La radiación de un cuerpo negro es independiente de:", "La naturaleza del material que lo compone.", "Su temperatura.", "Su área superficial.", "Su forma.", A, Física, Termodinámica
"Un fusible en un circuito eléctrico se funde (se abre) cuando la corriente excede un valor seguro. Esto protege el circuito basándose en el:", "Efecto Joule (calentamiento por corriente excesiva).", "Efecto fotoeléctrico.", "Principio de inducción electromagnética.", "Efecto de capacitancia.", A, Física, Electromagnetismo
"La energía potencial gravitacional cerca de la superficie de la Tierra para un objeto de masa m a una altura h es U = mgh. Esto es una aproximación válida siempre que h sea:", "Mucho menor que el radio de la Tierra.", "Comparable al radio de la Tierra.", "Mayor que la atmósfera.", "Independiente de g.", A, Física, Trabajo y leyes de la conservación
"El modelo de Drude explica la conductividad eléctrica en metales suponiendo que los electrones de conducción se comportan como un gas de partículas que colisionan con:", "Los iones de la red cristalina.", "Otros electrones.", "Fotones.", "Impurezas únicamente.", A, Física, Física contemporánea
"La constante de tiempo en el decaimiento de la corriente en un circuito RL (inductor-resistor) es τ = L/R. Un inductor grande (L grande) o una resistencia pequeña (R pequeña) producirán un decaimiento:", "Más lento.", "Más rápido.", "Instantáneo.", "Oscilatorio.", A, Física, Electromagnetismo
"La velocidad del sonido en un gas ideal depende de la temperatura y de la masa molar del gas. Es aproximadamente proporcional a la raíz cuadrada de:", "La temperatura absoluta.", "La presión.", "La densidad.", "La humedad.", A, Física, Ondas
"La 'masa efectiva' de un electrón en un semiconductor es una masa aparente que tiene en cuenta:", "La interacción con el potencial periódico de la red cristalina.", "Su carga eléctrica.", "Su spin.", "La temperatura del material.", A, Física, Física contemporánea
"La ley de la gravitación universal predice que la fuerza entre dos masas es siempre:", "Atractiva.", "Repulsiva.", "Puede ser atractiva o repulsiva.", "Cero si hay otras masas presentes.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"La formación de imágenes en el ojo humano se produce principalmente por la:", "Refracción de la luz en la córnea y el cristalino.", "Reflexión en la retina.", "Difracción en la pupila.", "Polarización en el humor vítreo.", A, Física, Óptica
"El principio de Mínima Acción en mecánica clásica establece que la trayectoria real de un sistema entre dos puntos es aquella que minimiza (o hace estacionaria) la:", "Acción (integral del Lagrangiano en el tiempo).", "Energía cinética.", "Energía potencial.", "Longitud del camino.", A, Física, Trabajo y leyes de la conservación
"La fórmula para la capacitancia de un capacitor esférico aislado de radio R es C = 4πε_0R. Esto muestra que la capacitancia es proporcional al:", "Radio de la esfera.", "Cuadrado del radio.", "Inverso del radio.", "Área superficial.", A, Física, Electromagnetismo
"El fenómeno de la radiación de sincrotrón ocurre cuando partículas cargadas son aceleradas, especialmente a velocidades relativistas, y emiten radiación electromagnética. Esta radiación está:", "Altamente colimada en la dirección del movimiento.", "Emitida isotrópicamente.", "Concentrada en el infrarrojo.", "Limitada a la radiofrecuencia.", A, Física, Física contemporánea
"La ecuación de Arrhenius describe la dependencia de la constante de velocidad de una reacción química con la temperatura. En física, una forma análoga describe procesos como la conductividad en semiconductores, donde la probabilidad de excitación térmica depende exponencialmente de:", "La inversa de la temperatura absoluta (1/T).", "El logaritmo de la temperatura.", "La temperatura al cuadrado.", "La raíz cuadrada de la temperatura.", A, Física, Física contemporánea
"La 'ley de áreas' de Kepler establece que la línea que une un planeta con el Sol barre áreas iguales en tiempos iguales. Esto es una consecuencia de la conservación del:", "Momento angular orbital.", "Energía mecánica total.", "Energía cinética.", "Cantidad de movimiento lineal.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"La fórmula para la presión hidrostática a una profundidad h en un fluido de densidad ρ es P = ρ g h. Esto es válido si:", "La densidad ρ es constante y el fluido está en reposo.", "El fluido está en movimiento laminar.", "La profundidad h es muy grande.", "La presión atmosférica es cero.", A, Física, Fluidos
"El principio de incertidumbre de Heisenberg para posición y momento se expresa como Δx Δp ≥ ħ/2. Esto implica que si se conoce con gran precisión la posición de una partícula, su momento será:", "Muy incierto.", "Muy preciso.", "Cero.", "Constante.", A, Física, Física contemporánea
"La 'energía del punto cero' en mecánica cuántica se refiere a la energía mínima que puede tener un sistema cuántico, como un oscilador armónico, debido a:", "Las fluctuaciones cuánticas en su estado fundamental.", "La temperatura del entorno.", "La energía térmica a 0 K.", "El principio de exclusión de Pauli.", A, Física, Física contemporánea
"La formación de un espectro de absorción (líneas oscuras sobre un fondo continuo) cuando la luz de un cuerpo caliente pasa por un gas más frío se debe a que los átomos del gas:", "Absorben fotones de frecuencias específicas para excitar sus electrones.", "Reflejan selectivamente ciertos colores.", "Dispersan la luz de manera diferente por cada color.", "Reemiten la luz en todas direcciones.", A, Física, Física contemporánea
"La velocidad de fase de una onda es la velocidad a la que se mueven los puntos de fase constante (como crestas). Para una onda de luz en el vacío, esta velocidad es:", "Igual para todas las frecuencias y coincide con c.", "Diferente para cada frecuencia (dispersión).", "Mayor que c para altas frecuencias.", "Menor que c para bajas frecuencias.", A, Física, Ondas
"Un niño lanza una pelota verticalmente hacia arriba con una velocidad de 20 m/s desde el nivel del suelo. ¿Cuál es la altura máxima que alcanza? (g=10 m/s²)", "10 m", "20 m", "30 m", "40 m", B, Física, Cinemática
"¿Cuál de las siguientes afirmaciones describe mejor la Segunda Ley de Newton?", "La aceleración de un objeto es directamente proporcional a la fuerza neta aplicada e inversamente proporcional a su masa.", "Para cada acción hay una reacción igual y opuesta.", "Un objeto en reposo permanece en reposo a menos que una fuerza neta actúe sobre él.", "La fuerza centrípeta es necesaria para el movimiento circular uniforme.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"Si un sistema no intercambia calor con su entorno (Q=0), y se expande realizando trabajo sobre los alrededores, de acuerdo con la primera ley de la termodinámica (ΔU = Q - W), su energía interna:", "Disminuye.", "Aumenta.", "Permanece constante.", "Primero aumenta y luego disminuye.", A, Física, Termodinámica
"Para que ocurra una interferencia destructiva completa entre dos ondas de luz coherentes, la diferencia de camino óptico entre ellas debe ser:", "Un múltiplo impar de media longitud de onda (λ/2, 3λ/2, ...).", "Un múltiplo entero de la longitud de onda (λ, 2λ, ...).", "Exactamente igual a la longitud de onda.", "Igual a la amplitud de las ondas.", A, Física, Ondas
"Un alambre recto largo que conduce una corriente eléctrica constante genera a su alrededor:", "Un campo magnético estático cuyas líneas son círculos concéntricos alrededor del alambre.", "Un campo eléctrico radial.", "Un campo magnético uniforme en todo el espacio.", "Ningún campo, ya que la corriente es constante.", A, Física, Electromagnetismo
"La ecuación de Bernoulli, P + (1/2)ρv² + ρgh = constante, es una expresión del principio de conservación de:", "La energía para un fluido ideal en movimiento estacionario.", "La masa (continuidad) para un fluido incompresible.", "La cantidad de movimiento para un fluido viscoso.", "La carga eléctrica en un fluido conductor.", A, Física, Fluidos
"Un objeto se coloca a 30 cm de una lente convergente de distancia focal 10 cm. La imagen formada será:", "Real, invertida y reducida.", "Real, invertida y aumentada.", "Virtual, derecha y aumentada.", "Virtual, derecha y reducida.", B, Física, Óptica
"El 'periodo' de un movimiento ondulatorio es:", "El tiempo que tarda en completarse un ciclo completo.", "El número de ciclos completos por unidad de tiempo.", "La distancia entre dos puntos consecutivos en fase.", "La máxima perturbación desde la posición de equilibrio.", A, Física, Ondas
